Regulator	Molecule Type	Target genes	count	z-score	Direction
1,2-dithiol-3-thione	chemical reagent	ABCC3, ACAA1, ACSL5, ACTG1, AGPAT3, AKR1A1, AKR1B10, AKR7A3, ALAS1, ALAS2, ALDOA, ANG, APBA3, APCS, APOA4, ARF1, ATF7, ATP1A1, B4GALNT1, BHMT, BNIP3, C5, CA11, CBR1, CCT3, CCT7, CD8B, CDC34, CELA1, CHORDC1, CLPP, CLPTM1L, COPS5, COQ7, CREG1, CTSD, CUL1, CYP4A22, DAD1, DDX39B, DDX50, DHCR7, DNAJB11, DNAJB9, DNAJC3, DSTN, DYNLL1, EIF2S1, EIF3C, EIF3D, EIF3E, EIF3G, EIF4G2, EIF6, ENTPD5, EPB41, EPHB4, EPHX1, ERP29, ESD, ETV6, F10, FABP1, FKBP11, FKBP5, FMO1, FTH1, FXYD1, GAS2, GBE1, GCLC, GCLM, GHR, GNA11, GNA14, GNB2L1, GSPT1, GSR, GSTA1, GSTA3, GSTA5, GSTM1, GSTM5, GSTP1, GSTT2/GSTT2B, HACD3, HAX1, HM13, HMBS, HMOX1, HPRT1, HSD3B1, HSP90AA1, HSP90AB1, HSP90B1, HTATIP2, IDE, IKBKG, INMTCHORDC1, INMT, LGALS8, LMNA, LPL, LY6E, M6PR, MCFD2, MGLL, MORF4L2, MRPS18B, MSMO1, NARS, NAT8B, NBR1, NCKAP1, NFE2L2, NQO1, NR1I3, NUCB2FTH1, NUCB2, P2RX4, PCBP1, PDIA3, PDIA4, PDIA6, PFN2, PPIB, PRDX1, PSAT1, PSMA1, PSMA2, PSMA4, PSMA5, PSMA6, PSMA7, PSMB1, PSMB2, PSMB3, PSMB4, PSMB5, PSMB6, PSMC1, PSMC2, PSMC3, PSMC6, PSMD1, PSMD11, PSMD12, PSMD13, PSMD14, PSMD3, PSMD4, PSMD5, PSMD7, PSMD8, RAN, RARS, RBBP7, RPL18, RPLP0, RPS16ABCC3, RPS16, RRS1, RUVBL1, S100A13, SAA1, SEC23A, SEC61A1, SERINC3, SERPINA3, SERPINA6, SERPIND1, SLC16A2, SLC35B1, SOD1, SOD2, SREBF1, SRXN1, STIP1	178.0	7.195	induced
1,4-bis[2-(3,5-dichloropyridyloxy)]benzene	chemical toxicant	ABCB4, ABCC2, ABCC3, ABCC4, ALAS1, APCS, APOA1, BUB1, BUB1B, CCNA2, CCNB1, CCNB2, CCND1, CDC20, CDK1, CDK2, CDK4, CDK6, CDKN1A, CORO7/CORO7-PAM16, CPT1A, CYP1A2, CYP27A1, CYP2B6, CYP2C19, CYP2C9, CYP2F1, CYP39A1, CYP3A4, CYP3A5, CYP7A1, CYP7B1, CYP8B1, DIO1, ECI2, EI24, EIF4EBP1, ENKD1, FAM107B, FBRS, FOXM1, G6PC, GADD45B, GSTA5, GSTP1, ICAM1, IGF2R, IL1R1, INSIG1, INSIG2ABCB4, SLCO1B3, SLCO1C1, STEAP4, SULT1C3, SULT1E1, SULT2A1, THRSP, TMPRSS2, TNFAIP2, TNFRSF1A, TUBA4A, UGT2B17, UGT2B28, UGT2B7, WISP1	65.0	5.3020000000000005	induced
1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine	chemical toxicant	ADGRE1, BAX, BCL2, BCL2L11, BDNF, CALB1, CASP1, CASP3, CASP8, CASP9, CDK5, CLDN1, CNR1, CYBB, DRD3, EGR1, EGR3, FGF2, FOS, FOSB, FUBP1, GDNF, GFAP, GRM1, HOMER1, HSF1, HSPB1, IDH2, IL1A, IL1B, IL2, IL6, JUNCLDN1, JUN, LIF, MAP2, MAP2K4, MPO, NCF2, NGF, NOS1, NOS2, NR4A1, NR4A2FUBP1, NR4A2, OSM, PARK7, PAWR, PENK, PIN1, PTGS2, PTPRC, PVALB, RHOA	54.0	2.578333333333333	induced
12-(3-adamantan-1-yl-ureido) dodecanoic acid	chemical reagent	API5, BAX, BCL2, BCL2L1, BCL2L11, BCL2L2, BCLAF1, BID, BIK, BIRC3, BIRC5, BNIP1, BNIP2, BOK, CARD6, CASP14, CASP2, CASP3, CASP4, CASP6, CASP7, CASP8, CASP8AP2, CASP9, CD40, CD40LG, CFLAR, CIDEA, CIDEB, SPHK2, TNF, TNFRSF10A, TNFRSF11B, TNFRSF1A, TNFRSF1B, TNFSF10, TNFSF12, TP53BP2, TP63, TP73, TRADD, TRAF1, TRAF3, TRAF4API5, PRDX2, PYCARD, RIPK2	47.0	0.0	
15-deoxy-delta-12,14 -PGJ 2	chemical - endogenous non-mammalian	ACTA2, ADAMTS4, AGTR1, BAK1, BAX, BCL2, BCL2L1, BECN1, BGLAP, BIRC2, BIRC3, BIRC5, BRCA1, CASP3, CASP9, CAV2, CCL2, CCL3, CCL5, CCNB1, CCND1, CCND2, CCNG1, CD200, CD36, CDC25C, CDK2, CDK4, CDKN1A, CEBPD, CFLAR, CIITA, COL1A1, COL1A2, CPT1B, CTGF, CTSB, CTSD, CXCL10, CXCL11, CXCL13, CXCL8, CXCL9, CYBB, CYP19A1, DDIT3, DDX58, DGKA, DNAJB1, E2F1, E2F2, E2F4, EGR1, ESR1, FABP2, FABP4, FASLG, FKBP4, FLT1, FN1, FOS, FTH1, GADD45A, GCLC, GCLM, GDF15, GSN, GSR, GSTP1, HGF, HLA-DRA, HMOX1, HSPB1, HTRA3, ICAM1, IFNG, IL10, IL1A, IL1B, IL2, IL4, IL5, IL6, IRF1, ITGAM, JUNCFLAR, JUN, KDR, KLF4, KLK3, LAMP1, MAP1LC3B, MAPK14, MCL1, MMP1, MMP13, MMP3, MMP9, MPO, MSR1, MUC1, MXD1, MYB, MYC, MYH11, MYOD1, MYOG, NFE2L2, NFKB1, NFKBIA, NFKBIB, NOS2, NOS3, NOX1, NOX4, NQO1	116.0	-2.5155000000000003	repressed
17-alpha-ethinylestradiol	chemical drug	AARS, ABCB11, ABCC2, ABCC3, ABCG5, ABCG8, ADGRE1, ADGRE5, ALDH18A1, APOA4, APOB, APOC2, APOE, AQP3, AQP8, AQP9, ASNS, ATF4, BCAT1, BCL3, C1QB, C1QC, C3, CCL3L3, CCL5, CCR1, CCR2, CCR3, CCR4, CCR5, CCR7, CCR8, CD53, CD5L, CD68, CD74, CDH1, CDK1, CFP, CKB, CNOT4, CSF1R, CTSS, CXCL10, CXCL3, CXCL6, CXCR2, CXCR3, CYP2B6, SLC38A3, SLC40A1, SLCO1B3, SLCO1C1, SNAPC2, SOCS1, SPOCK2, SPSB2, STAT5A, TFF1, TFF3, TGFB3, TNF, TNFSF8, TNNT1, TRA2B, UHMK1, VCAM1, VEGFA, VEZF1AARS, PLK3, PRTN3, PTGDS, SCARB1, SCARB2, SERPINB5, SERPINH1, SESN1, SFN, SGK1, SHBG, SLC10A1, SLC11A1, SLC25A5, SLC34A2, SLC4A2	85.0	0.0	
2-amino-1-methyl-6-phenylimidazo-4-5-b-pyridine	chemical drug	APOC2, ARHGEF1, BAX, BCL2, BTN1A1, CCND1, CCT2, CCT4, CCT5, CCT7, CCT8, CDK4, CSN2, CSN3, CSRP3, G3BP1, HSP90AA1, HSPA5, HSPA8, HSPD1, HSPE1, HSPH1G3BP1, HSPH1, LAPTM4B, PSMA2, PSMA6, PSMB1, PSMB2, PSMB4, PSMB9, PSME1, RAB11A, RAB2A, RAC2, RALB, RAN, RAP1A, RAP1B, RB1APOC2, RB1, SUMO1	41.0	3.972	induced
2-amino-5-phosphonovaleric acid	chemical - other	AAGAB, ADAM19, ADAMTS1, ADAMTS2, ALS2, ANKRD37, ANLN, APAF1, ARC, ARID5A, ARMCX6, ASB2, ATF4, B3GALT5, BBC3, BBS12, BDNF, BID, BSPRY, BTG3, BVES, C18orf8, C19orf52, C2CD4C, C5orf51, CAMKK1, CCDC126, CCDC166, CCDC28A, CDK20, CGN, COX16, CRCP, CYB561A3, SLITRK3, SMG7, SPATA13, SPRY4, STOML1, TAF8, TBC1D22A, TCHP, TMEM200A, TNFAIP3, TSPAN18, WWOX, YPEL5, ZC3H7A, ZHX1, ZNF605, ZNF750AAGAB, PHLDA1, PLEKHO1, PLK3, PPAPDC2, PRKAB2, PTGS2, RALGPS2, RASGEF1B, RASL11A, RELB, REM2, RGS2, RIT1, RPS15A, RPS6KA5, RUNX1T1, SDPR, SENP7, SLC25A29, SLC25A38	71.0	0.0	
26s Proteasome	complex	PGR, PKD1, PPP2CA, PPP2R4, PRKCA, PRKDC, PRNP, PSMB5, PTEN, PTGS2, RB1, RUNX3, S1PR1, SFTPA1, SFTPB, SFTPC, SKI, SKIL, SMAD2, SNAI1, SOCS3, SOX2, SRC, STAT5A, TK1, TNFSF10, TP53, TRAF4, TXNIP, UBD, UBE2I, ULBP1, ULBP2, ULBP3, VIMADARB2, AHR, APAF1, AR, ARNT, ATF5, ATF7IP2, BAX, BCL2L11, BCL3, BHLHE22, BIRC2, BIRC3, BMP2, CCL2, CDKN1A, CDKN1B, CFLAR, CXCL3, CXCL8	54.0	-3.0260000000000002	repressed
3,4,5,3',4'-pentachlorobiphenyl	chemical toxicant	ACOT2, AKR1A1, BDNF, BMP4, CA3, CACNA1D, CALB1, CAP2, CAPN9, CAT, CCK, CCND2, CD44, CEACAM4, CES1, CLDN5, COL1A1, COMT, CTLA4, CYB5A, CYCS, CYP1A1, CYP1A2, CYP1B1, CYP2C8, CYP3A7, DACT2, DNMT1, EGF, EPB41L3, ESR1, ETS2, FGF9, FMR1, FOXO1, GABRD, GADD45A, GRHPR, GRIN1, GSTP1, HSPA1A/HSPA1B, HSPA2, IDH1, IGFBP3, IGL, ITGA7, JUNCES1, JUN, KIF1B, MEGF10, MYH11, NOS2, NOTCH1, NQO1, NR0B2, NR2F1ACOT2, SLCO2B1, SLCO3A1, SOCS2, SST, TIMELESS, TIPARP, TMSB10/TMSB4X, TNC, UGT2B7ACOT2, PRKAR2B, PTGFR, RESP18, SERPINA7, SLC9A4	70.0	2.5985	induced
4-hydroxytamoxifen	chemical drug	ABCB1, ACTC1, AKAP1, ANGPTL2, AP4M1, AQP3, AREG, BAX, BCL2, BCL2L1, C3, CA2, CCL15, CCNA1, CCND1, CD55, CDCA7, CDH1, CDKN1A, CDKN1B, CEBPA, CEBPB, CEBPD, CHST2, CLDN4, CLU, CNBP, COL16A1, CTSD, CYP19A1, CYP3A4, DDIT4, DDX21, DECR1, DUSP9, DYNLL1, EFEMP1, EGFR, EIF5A, EPHA1, EPOR, ESR1, FABP4, FADD, FASLG, FGFR1, FOS, FOSL2, FOXA1, FOXO1, GABBR2, GLRX, GM2A, GSTA5, HDGF, HEBP1, HOXD11, HSD17B7, HTR1A, IER3, IFNG, IGF1, IGF1R, IGFBP1, IGFBP3, IL10, IL4, IL5, IL6, IL7R, JUNBCHST2, JUNB, KLRC4, KLRC4-KLRK1/KLRK1, KRT13, KRT19, LOR, MAP2K1, MAPK14, MINA, MINOS1-NBL1/NBL1, MKI67, MPC1, MYC, NCOA1, NCOA3, NCOR2, NEDD9, NOTCH3, NOV, NRF1GABBR2, NRF1, OGT, PAK6, PDCD5, PDK4, PDLIM3, PDZK1, PGR, PMAIP1, POLD4, PRKCH, PRL, PTPN11, PTPRH, PTTG1, RAI2, RARA, RB1, RBP4, RCC1, RGS19, RHOBTB2, RPS6KA4	114.0	2.720333333333333	induced
5-N-ethylcarboxamido adenosine	chemical reagent	ACKR3, ADM, ADORA2A, ADORA2B, ALB, AQP8, ARG1, ARG2, BAG3, BCL3, BHLHE40, BTG2, CBFA2T2, CCL2, CCL3L3, CDKN2B, CEBPD, CES1, CHAF1B, CIITA, COL1A2, CREM, CSF2RB, CTGF, CXCL8, SOCS3, SOX17, SPINT1, SRXN1, ST3GAL1, SYPL2, TAT, TGFB1, THBD, THBS1, TNF, TNS2, TXNIP, UBC, USP2, VCAN, VDR, VEGFA	43.0	0.0	
5-O-mycolyl-beta-araf-(1->2)-5-O-mycolyl-alpha-araf-(1->1')-glycerol	chemical - endogenous non-mammalian	ACSL1, ADAD2, ADAMTS5, ADORA2A, AGPAT9, AQP9, ATF3, BCL2A1, BCL3, CCL2, CCL20, CCL3L3, CCL4, CCL7, CCL8, CCR7, CD1D, CD40, CD44, CD83, CHST2, CHST7, CMKLR1, CX3CR1, CXCL1, CXCL10, CXCL11, CXCL2, CXCL3, CXCL8, CXCL9, CXCR2, CYP19A1, DUSP1, EBI3, EGR2, FABP4, HBEGF, ICAM1, IDO1, IER3, IFIT1, IFIT2, IFIT3, IFIT5, IL18RAP, IL1A, IL1B, ITGB8CHST2, ITGB8, KYNU, LRP12, MGLL, MMP1, MMP9, NAIP, NAMPT, NEU4, NFKB1, NFKB2, NFKBIZ, NLRC3, NR4A3, NT5EACSL1, SOCS3, SOD2, SPHK1, STAT4, TNF, TNFAIP3, TNIP3, TRAF1, VCAM1ACSL1, PLA2G7, PTGS2, RCAN1, RGS1, RGS16, RND3, SDC4, SERPINB2, SERPINE2, SLAMF7, SLC7A11	84.0	5.592499999999999	induced
5-azacytidine	chemical drug	MAFF, MCL1, MECP2, MEF2A, MEF2D, MGMT, MLH1, MUC2, MUC4, MYH7, MYO1B, N4BP2L2, NOS2, NOS3, NPC1L1, PAH, PAX1, PLAGL1, PLAU, PNRC1, PPM1D, PRAME, PRF1, PTGS2, PTPRG, PTRF, PURA, RARB, RASSF1, RFX1, RRM2, RUNX3, SERPINB8, SHC1, SHH, SLC3A2, SLC7A5, SLC9A1, SMURF2, SOCS3, SOX11, SOX9, SP1, SP3, SPHK1, STK17A, TACSTD2, TERT, TFF1, TFPI2, TGFBR1, TGFBR2, TGM2, THBS1, THBS2, TNFRSF10B, TP73	57.0	5.461	induced
5-fluorouracil	chemical drug	FXYD3, GAP43, GAPDH, GARS, GDF15, GOT2, GPR132, GSN, GTF2H2, GTF2I, HADHA, HNRNPA1, HNRNPA2B1, HNRNPAB, HNRNPC, HSP90AB1, HSPA8, HSPE1, IARS, IDH2, IL1B, ILF2, KARS, KRAS, LDHA, MAD1L1, MAT2A, MCL1, MDH1, MDM2, MT-CO1, MT-ND3, MT-ND4, MT-ND4L, MT-ND6, MTA1, MVP, MYC, NACA, NCL, NDUFA1, NDUFA4, NDUFS8, NDUFV2, NNT, NOP56, OAZ1, PCBP1, PGK1, PIK3CG, POLR2B, POLR2L, PRC1, PSMA6, PSMA7, PSMB1, PSMB2, PSMB5, PSMB7, PSMD2, PSME1, PSME2, PTGES3, PTGS2, PTK2, QARS, RAE1, RAF1, RBL1, RBMX, RHOB, RPL10, RPL10A, RPL11, RPL15, RPL18, RPL19, RPL21, RPL23, RPL24, RPL27A, RPL30, RPL31, RPL35, RPL35A, RPL37, RPL38, RPL5, RPL6, RPL7, RPL7A, RPS13, RPS15A, RPS16, RPS23, RPS27A, RPS28, RPS29, RPS4X, RPS4Y1, RPS8MAD1L1, RPS8, SAT1, SERPINB1, SERPINB6, SLA, SLC25A3, SLC25A5, SLC25A6, SMS, SNRPB, SNRPD2, SNRPE, SNRPF, SNRPG, SPINK1, SQSTM1, SRM, SRP9, SRSF2, SSB, SSR4, SUB1, TCEB2, TGFA, THBS1, TLR3, TLR4, TMSB10/TMSB4X, TNFRSF10B, TNFRSF12A, TP53, TPI1PIK3CG, TPI1, TSC22D1, TYMS, UBD, UBE2C, UNG, UQCRC2, XPOT, YBX1, YBX3, ZNF43ABCC11, ACOX3, AHSA1, ALDOA, ANXA2, ANXA4, ATF4, ATG5, ATP5B, ATP5C1, ATP5F1, ATP5I, ATP5O, BAK1, BAX, BBC3, BCL2, BCL2L1, BCL2L11, BECN1, BIRC2, BIRC5, BNIP3, BNIP3L, BTF3, CALU, CANX, CAPNS1, CASP3, CCNA1, CCND1, CCNG1, CCT3, CCT4, CCT6A, CD40, CD80, CD86, CDK1, CDK2, CDKN1A, CDKN2A, CES2, CFLAR, CLU, COL1A2, COPS8, COX6A1, COX6B1, COX6C, COX8A, CSTB, CSTF1, CYCS	197.0	-5.793333333333333	repressed
5-hydroxytryptamine	chemical - endogenous mammalian	ALDH1A2, ARC, ASIC1, ASIC2, ASIC3, BDNF, CCL2, COL23A1, CTGF, CXCL8, CYBB, CYP19A1, CYP1B1, DUOX2, EGR1, F2R, F3, FGF2, FOS, GAD1, GCG, GDNF, GHRL, GTF3A, HBEGF, HIF1A, HTR2B, ICAM1, IGF1, IL1A, IL1B, IL6COL23A1, IL6, LIPC, MMP13, MYC, NCF2, NOS3, NR3C1, NR4A1, NUCB2	41.0	4.76	induced
6-hydroxydopamine	chemical toxicant	ACO1, ATF4, BAD, BAX, BCL2, BCL2L1, BCL2L2, BDNF, C3, CABP1, CALR, CASP3, CASP9, CCL5, CEACAM1, CEBPE, CNR1, CRH, CXCL13, DDIT3, DDIT4, DRD2, DRD3, FOS, FOSB, GAD1, GAP43, GDNF, GFAP, GNAL, HEPH, HERPUD1, HSP90AB1, HSPA1A/HSPA1B, HSPA4, HSPA5, HSPA8, HSPA9, HSPBP1, IFNG, IL10, IL1B, IL2, IL6, JUNCNR1, JUN, LONP1, MAPK1, MDM2, MEF2D, MMP3, MMP9, MT-CO1, NCAM1, NOS2, NPY, NR4A2GAD1, NR4A2, P4HB, PDIA3, PDYN, PENK, PITX3, PNOC, PPIB, PSMB2, PSMC4, RPL29	68.0	3.077	induced
8-bromo-cAMP	chemical reagent	ABCA1, ACE, ACOX1, ACSL4, ADM, ADRB3, ALDH2, ALPPL2, AOC1, APOA1, APP, AQP2, ARG1, ARG2, AVP, BGLAP, BMP2, BMP7, CAMP, CCNA1, CD82, CDC42, CDKN1B, CEBPB, CGA, CGB (includes others), CLDN11, CLEC11A, CLU, COL10A1, CREB1, CREM, CRH, CRYAA/LOC102724652, CTGF, CTSD, CYP11A1, CYP11B1, CYP11B2, CYP17A1, CYP19A1, CYP1B1, CYP21A2, CYP2B6, DBH, DCN, DDX25, DIO2, DMRT1, DRD2, DUSP1, DUSP4, EGFR, EGR1, FAM89B, FAS, FDX1, FDXR, FGF2, FOS, FOXO1, FSHR, G6PC, GATA1, GATA6, GCH1, GFAP, GJA1, GNAI1, GNAI2, GNAI3, GNRHR, GSTP1, HPGD, HSD17B1, HSD3B2, IFNB1, IGF1, IGF1R, IGF2, IGFBP1, IL12RB1, IL1B, IL6, INHA, INHBB, ITPR2, ITPR3, JUNCGA, JUN, KDR, KITLG, KRT8, LDLR, LHB, LHCGR, LOX, MAT2A, MMP1, MMP23B, MYC, MYH6, NFIL3, NOS1, NOS2, NPPA, NQO1, NR1I3, NR5A1, NRP1	110.0	5.1925	induced
A23187	chemical reagent	ACE, AGTR1, AMD1, AR, ATP2A2, BCL2L11, CALCB, CALR, CASR, CD14, CD1A, CD40, CD46, CD80, CD83, CD86, CRH, CSF2, CTLA4, CXCL8, CYCS, CYP11A1, DDIT3, DDIT4, DVL3, EGR1, EIF6, FDX1, FGF2, FN1, FOS, FOSB, FOSL1, GCH1, GNRHR, HERPUD1, HSD17B1, HSP90B1, HSPA5, ICAM1, ID3, IFNB1, IFNG, IGF1, IL12A, IL12B, IL13, IL1RL1, IL2, IL22, IL4, IL5, IL6, INHBA, IRF4, JUN, JUNBCRH, JUNB, LAT, LCN2, LHB, LTA, MAP3K8, MMP13, MSR1, MTHFR, MUC2, MYC, MYF5, MYH1, MYH2, NGF, NKX2-1, NR4A1GCH1, NR4A1, ODC1, PDIA2, PLCB3, PON2, PPARG, PRL, PTGS2, RCAN1, REN	84.0	5.011666666666667	induced
ACOX1	enzyme	G6PC, GADD45A, GNMT, GOT1, GPX4, GSDMC, GSTP1, HAL, HDAC1, HLA-DQA1, HLA-DRB5, HPD, HSD11B1, HSD3B1, HSPA5, IGF1, IGFBP1, IGFBP2, IL1RAP, IMPACT, ITLN1, KLF6, KRT23, KRT8, LCN2, LGALS3, LGALS3BP, LHPP, LONP1, LPCAT3, LPL, LY6D, MBL2, MFGE8, MGLL, MYH1, NFE2L2, NR1H3, NUPR1, OAT, OTC, PAH, PALMD, PDK4, PEX11A, PHLDA1, PIGP, PIPOX, PLIN2, PLSCR1, PXMP2, QPCT, RAD51B, RBM3, RGN, RGS2, RPL12, RPS24ABCD3, ACAA1, ACADL, ACADM, ACADVL, ACER2, ACOT2, ACOX1, ACSL1, ADAMTS1, AIG1, AKR1C4, ANXA2, APCS, BAAT, C9, CAT, CBR1, CD36, CD63, CDKN1A, CES3, CHRNB2, COL4A2, CPOX, CRAT, CSTB, CTBS, CTSE, CTSV, CXCL12, CYP1A2, CYP2C8, CYP4A11, SLC37A4, SLCO2B1, SQSTM1, TAGLN2, TM4SF4, TNFRSF10A, TP53, TRIB3, TRPV2, UCP2, UGCG, UGT8, UPP2, XBP1ABCD3, RPS24, SELENBP1, SERPINA1, SGK1, SLC16A1, SLC20A1, SLC22A25, SLC27A2, SLC4A4	114.0	-2.0469999999999997	repressed
ADAM10	peptidase	GAD2, GADD45G, GNA13, GNAQ, GRIN2A, GRIN2B, GZMH, HIP1, HIPK1, HPRT1, HTR1F, IL36G, INHBA, INHBC, IRAK1, ITGA5, KLC2, KLRB1, LCK, MCHR1, MDM4, MEF2C, MICA, MKKS, MYO15A, NOS1, NR2E1, OMP, PAX6, PDIA3, PLP1, PPP1R13L, PRNP, PVALB, QKI, RABEP1, RAMP2, RDH11, RGS4, RHO, ROCK1, RPGRABAT, AGTPBP1, APH1A, APP, ATP2A2, ATP6V0A4, ATRX, BID, BRAF, CACNA2D1, CALCRL, CAMK2A, CCL4, CCND1, CCR2, CD74, CDHR1, CRYAB, CSF1, CXCL12, CXCL16, RPGR, S100A9, SCN2A, SHANK3, SLC45A2, SOX9, SYP, SYT1	70.0	2.219	induced
